question_id,question_type,question_text,difficulty,primary_tables,expected_output_rows,workflow_complexity,generation_model,generation_timestamp,reference_sql,function_sequence,expected_result_summary,success_criteria
103,sql,What naming conventions are used across different economic indicators?,easy,time_series_data,12,simple_query,gpt-4o,2025-09-01T15:39:22.090777,"SELECT DISTINCT category
FROM time_series_data
WHERE category IS NOT NULL
ORDER BY category ASC;",,12 rows expected,
104,sql,How are industry classifications organized in the GDP data?,medium,time_series_data,0,aggregation,gpt-4o,2025-09-01T15:39:24.058543,"SELECT 
    category AS industry_classification,
    COUNT(*) AS data_points,
    AVG(numeric_value) AS average_gdp_value
FROM 
    time_series_data
WHERE 
    category IS NOT NULL
    AND source = 'BEA'
GROUP BY 
    category
ORDER BY 
    data_points DESC
LIMIT 20;",,0 rows expected,
105,sql,What budget categories have changed names or been reorganized over time?,easy,budget_outlays,16,join_query,gpt-4o,2025-09-01T15:39:26.398523,"SELECT DISTINCT b1.function_name AS original_function_name, b2.function_name AS new_function_name
FROM budget_outlays b1
JOIN budget_outlays b2 ON b1.fiscal_year < b2.fiscal_year AND b1.outlay_amount = b2.outlay_amount
WHERE b1.function_name IS NOT NULL
  AND b2.function_name IS NOT NULL
  AND b1.function_name <> b2.function_name
ORDER BY original_function_name ASC, new_function_name ASC
LIMIT 20;",,16 rows expected,
106,sql,Which economic indicators use different measurement scales or units?,hard,time_series_data,0,advanced,gpt-4o,2025-09-01T15:39:28.035063,"SELECT category, COUNT(DISTINCT source) AS source_count
FROM time_series_data
WHERE numeric_value IS NOT NULL
GROUP BY category
HAVING COUNT(DISTINCT source) > 1
ORDER BY source_count DESC
LIMIT 20;",,0 rows expected,
107,sql,What data fields appear consistently across multiple datasets?,hard,,3,advanced,claude-sonnet-4-20250514,2025-09-01T18:48:59.431607,"SELECT 
    'function_name/category' as common_field_type,
    COUNT(DISTINCT 'budget_outlays') + COUNT(DISTINCT 'time_series_data') as datasets_present,
    'Text identifier for data classification' as field_description
FROM (
    SELECT 'budget_outlays' as dataset, 'function_name' as field_name, 'TEXT' as data_type
    UNION ALL
    SELECT 'time_series_data' as dataset, 'category' as field_name, 'TEXT' as data_type
    UNION ALL
    SELECT 'budget_outlays' as dataset, 'fiscal_year' as field_name, 'INTEGER' as data_type
    UNION ALL
    SELECT 'time_series_data' as dataset, 'date' as field_name, 'TEXT' as data_type
    UNION ALL
    SELECT 'budget_outlays' as dataset, 'outlay_amount' as field_name, 'REAL' as data_type
    UNION ALL
    SELECT 'time_series_data' as dataset, 'numeric_value' as field_name, 'REAL' as data_type
) field_analysis
GROUP BY 
    CASE 
        WHEN field_name IN ('function_name', 'category') THEN 'categorical_identifier'
        WHEN field_name IN ('fiscal_year', 'date') THEN 'time_dimension'
        WHEN field_name IN ('outlay_amount', 'numeric_value') THEN 'numeric_measure'
        ELSE 'other'
    END
HAVING COUNT(DISTINCT dataset) > 1;",,3 rows expected,
108,sql,How are seasonal adjustments indicated in the time series data?,easy,time_series_data,0,simple_query,gpt-4o,2025-09-01T15:39:31.515692,"SELECT DISTINCT source, category
FROM time_series_data
WHERE category LIKE '%seasonally adjusted%'
ORDER BY source ASC, category ASC;",,0 rows expected,
109,sql,What categorization systems are used for different types of government spending?,easy,budget_outlays,100,simple_query,gpt-4o,2025-09-01T15:39:33.084893,"SELECT DISTINCT function_name AS categorization_system
FROM budget_outlays
WHERE function_name IS NOT NULL
ORDER BY function_name ASC;",,100 rows expected,
110,sql,Which datasets include metadata about data collection methodology?,easy,time_series_data,4,simple_query,gpt-4o,2025-09-01T15:39:34.335144,"SELECT DISTINCT source
FROM time_series_data
WHERE category IS NOT NULL
ORDER BY source ASC;",,4 rows expected,
111,sql,What spending categories appear most frequently across different budget functions?,medium,budget_outlays,10,aggregation,gpt-4o,2025-09-01T15:39:35.498256,"SELECT function_name, COUNT(*) AS frequency
FROM budget_outlays
WHERE function_name IS NOT NULL
GROUP BY function_name
ORDER BY frequency DESC
LIMIT 10;",,10 rows expected,
112,sql,Which economic indicators provide the broadest coverage of economic activity?,medium,industry_gdp,0,aggregation,gpt-4o,2025-09-02T09:35:55.355313,"SELECT 
    industry_name AS economic_indicator, 
    COUNT(DISTINCT year) AS coverage_years
FROM 
    industry_gdp
WHERE 
    gdp_value IS NOT NULL
GROUP BY 
    industry_name
ORDER BY 
    coverage_years DESC
LIMIT 1;",,0 rows expected,
113,sql,What data gaps exist in the current economic datasets?,hard,industry_gdp,0,advanced,gpt-4o,2025-09-02T09:35:58.587139,"SELECT 
    industry_code, 
    industry_name, 
    year, 
    COUNT(*) AS total_records, 
    SUM(CASE WHEN gdp_value IS NULL THEN 1 ELSE 0 END) AS missing_gdp_values
FROM 
    industry_gdp
GROUP BY 
    industry_code, 
    industry_name, 
    year
HAVING 
    SUM(CASE WHEN gdp_value IS NULL THEN 1 ELSE 0 END) > 0
ORDER BY 
    missing_gdp_values DESC;",,0 rows expected,
114,sql,How are subcategories organized within major spending functions?,hard,budget_outlays,20,advanced,gpt-4o,2025-09-01T15:39:42.775392,"SELECT 
    function_name AS major_function,
    COUNT(DISTINCT function_name) AS subcategory_count,
    SUM(outlay_amount) AS total_outlays
FROM 
    budget_outlays
WHERE 
    function_name IS NOT NULL
GROUP BY 
    function_name
HAVING 
    COUNT(DISTINCT function_name) > 0
ORDER BY 
    total_outlays DESC
LIMIT 20;",,20 rows expected,
115,sql,Which industries have the most detailed GDP breakdowns available?,medium,time_series_data,3,aggregation,claude-sonnet-4-20250514,2025-09-01T18:49:31.663002,"SELECT category AS industry, COUNT(*) AS breakdown_count
FROM time_series_data
WHERE category IS NOT NULL 
  AND category LIKE '%GDP%'
  AND numeric_value IS NOT NULL
GROUP BY category
ORDER BY breakdown_count DESC
LIMIT 20;",,3 rows expected,
117,sql,How are government enterprises distinguished from regular departments in budget data?,hard,budget_outlays,20,advanced,gpt-4o,2025-09-01T15:39:46.680539,"SELECT 
    function_name AS department_name,
    SUM(outlay_amount) AS total_outlays
FROM 
    budget_outlays
WHERE 
    function_name IS NOT NULL
GROUP BY 
    function_name
HAVING 
    SUM(outlay_amount) > 0
ORDER BY 
    total_outlays DESC
LIMIT 20;",,20 rows expected,
118,sql,What special categories exist for emergency or supplemental spending?,easy,budget_outlays,1,simple_query,gpt-4o,2025-09-01T15:39:48.198266,"SELECT DISTINCT function_name AS special_category
FROM budget_outlays
WHERE function_name LIKE '%Emergency%' OR function_name LIKE '%Supplemental%'
ORDER BY function_name ASC;",,1 rows expected,
120,sql,What cross-references exist between different economic classification systems?,hard,industry_gdp,0,advanced,gpt-4o,2025-09-02T09:36:21.782110,"SELECT 
    industry_code AS economic_classification_system,
    COUNT(DISTINCT industry_name) AS cross_references_count
FROM 
    industry_gdp
WHERE 
    industry_code IS NOT NULL
GROUP BY 
    industry_code
HAVING 
    COUNT(DISTINCT industry_name) > 1
ORDER BY 
    cross_references_count DESC;",,0 rows expected,
121,sql,Which datasets have been collected continuously without major breaks?,hard,time_series_data,0,advanced,gpt-4o,2025-09-02T09:36:28.053441,"SELECT 
    source, 
    COUNT(DISTINCT year) AS continuous_years
FROM (
    SELECT source, year, COUNT(DISTINCT period_value) AS periods_per_year
    FROM time_series_data
    WHERE year IS NOT NULL
    GROUP BY source, year
    HAVING COUNT(DISTINCT period_value) > 1
) AS continuous_data
GROUP BY source
HAVING COUNT(DISTINCT year) = (SELECT MAX(year) - MIN(year) + 1 FROM time_series_data WHERE year IS NOT NULL)
ORDER BY continuous_years DESC;",,0 rows expected,
122,sql,What economic indicators show changes in measurement methodology over time?,hard,time_series_data,0,advanced,gpt-4o,2025-09-01T15:39:54.119259,"SELECT 
    category, 
    COUNT(DISTINCT source) AS distinct_sources
FROM 
    time_series_data
WHERE 
    category IS NOT NULL
GROUP BY 
    category
HAVING 
    COUNT(DISTINCT source) > 1
ORDER BY 
    distinct_sources DESC
LIMIT 20;",,0 rows expected,
123,sql,How far back do consistent budget category definitions extend?,hard,budget_outlays,100,advanced,gpt-4o,2025-09-01T15:39:55.959695,"SELECT function_name, MIN(fiscal_year) AS first_year, MAX(fiscal_year) AS last_year
FROM budget_outlays
WHERE function_name IS NOT NULL
GROUP BY function_name
HAVING COUNT(DISTINCT fiscal_year) = (SELECT COUNT(DISTINCT fiscal_year) FROM budget_outlays)
ORDER BY first_year ASC;",,100 rows expected,
124,sql,Which data series have provisional vs. final values?,hard,time_series_data,0,advanced,gpt-4o,2025-09-01T15:40:07.207455,"SELECT 
    category, 
    source, 
    COUNT(CASE WHEN source LIKE '%provisional%' THEN 1 END) AS provisional_count,
    COUNT(CASE WHEN source LIKE '%final%' THEN 1 END) AS final_count
FROM 
    time_series_data
WHERE 
    category IS NOT NULL
    AND source IS NOT NULL
GROUP BY 
    category, 
    source
HAVING 
    provisional_count > 0 OR final_count > 0
ORDER BY 
    category ASC
LIMIT 20;",,0 rows expected,
125,sql,What lag times exist between data collection and reporting for different indicators?,hard,time_series_data,100,advanced,gpt-4o,2025-09-02T09:36:49.641035,"SELECT 
    indicator_id,
    AVG(julianday('now') - julianday(year || '-' || period_value || '-01')) AS avg_lag_days
FROM 
    time_series_data
WHERE 
    year IS NOT NULL 
    AND period_value IS NOT NULL
GROUP BY 
    indicator_id
HAVING 
    COUNT(record_id) > 0
ORDER BY 
    avg_lag_days DESC;",,100 rows expected,
126,sql,Which economic measurements are subject to regular revisions?,hard,industry_gdp,0,advanced,gpt-4o,2025-09-02T09:36:53.454021,"SELECT source AS economic_measurement, COUNT(DISTINCT year) AS revision_count
FROM industry_gdp
WHERE gdp_value IS NOT NULL
GROUP BY source
HAVING COUNT(DISTINCT year) > 1
ORDER BY revision_count DESC;",,0 rows expected,
127,sql,What historical events created discontinuities in data series?,hard,time_series_data,0,advanced,gpt-4o,2025-09-02T09:36:57.350226,"SELECT 
    tsd.series_id AS data_series,
    tsd.year,
    tsd.period_name,
    tsd.geographic_name,
    COUNT(DISTINCT tsd.record_id) AS discontinuity_count
FROM 
    time_series_data tsd
WHERE 
    tsd.numeric_value IS NOT NULL
GROUP BY 
    tsd.series_id, tsd.year, tsd.period_name, tsd.geographic_name
HAVING 
    COUNT(DISTINCT tsd.record_id) > 1
ORDER BY 
    discontinuity_count DESC, tsd.year, tsd.series_id
LIMIT 10;",,0 rows expected,
128,sql,How are fiscal years aligned across different government datasets?,hard,"budget_outlays,industry_gdp,time_series_data",0,join_query,gpt-4o,2025-09-02T09:37:05.986506,"SELECT 
    tsd.fiscal_calendar AS time_series_fiscal_calendar,
    bo.fiscal_year AS budget_outlays_fiscal_year,
    ig.year AS industry_gdp_fiscal_year,
    COUNT(DISTINCT tsd.record_id) AS time_series_count,
    COUNT(DISTINCT bo.record_id) AS budget_outlays_count,
    COUNT(DISTINCT ig.record_id) AS industry_gdp_count
FROM 
    time_series_data tsd
LEFT JOIN 
    budget_outlays bo ON tsd.fiscal_calendar = CAST(bo.fiscal_year AS TEXT)
LEFT JOIN 
    industry_gdp ig ON tsd.fiscal_calendar = CAST(ig.year AS TEXT)
WHERE 
    tsd.fiscal_calendar IS NOT NULL
    AND bo.fiscal_year IS NOT NULL
    AND ig.year IS NOT NULL
GROUP BY 
    tsd.fiscal_calendar, bo.fiscal_year, ig.year
ORDER BY 
    time_series_fiscal_calendar, budget_outlays_fiscal_year, industry_gdp_fiscal_year
LIMIT 100;",,0 rows expected,
129,sql,Which indicators provide real-time vs. retrospective measurements?,medium,time_series_data,12,aggregation,gpt-4o,2025-09-01T15:40:21.970284,"SELECT 
    category, 
    source, 
    CASE 
        WHEN source LIKE '%real-time%' THEN 'Real-time'
        ELSE 'Retrospective'
    END AS measurement_type
FROM 
    time_series_data
WHERE 
    category IS NOT NULL
    AND source IS NOT NULL
GROUP BY 
    category, 
    source
ORDER BY 
    category ASC
LIMIT 20;",,12 rows expected,
130,sql,What data series offer projections or forecasts beyond current periods?,easy,time_series_data,0,simple_query,gpt-4o,2025-09-02T09:37:14.392083,"SELECT DISTINCT series_id
FROM time_series_data
WHERE is_estimated = TRUE
  AND year > strftime('%Y', 'now')
ORDER BY series_id;",,0 rows expected,
131,sql,Which budget categories have the most complete historical records?,medium,budget_outlays,10,aggregation,gpt-4o,2025-09-01T15:40:26.051576,"SELECT function_name, COUNT(DISTINCT fiscal_year) AS record_count
FROM budget_outlays
WHERE function_name IS NOT NULL
GROUP BY function_name
ORDER BY record_count DESC
LIMIT 10;",,10 rows expected,
132,sql,What economic indicators have missing data for certain periods?,hard,time_series_data,0,advanced,claude-sonnet-4-20250514,2025-09-01T19:21:40.770087,"SELECT 
    category AS economic_indicator,
    COUNT(*) AS total_periods,
    COUNT(numeric_value) AS periods_with_data,
    COUNT(*) - COUNT(numeric_value) AS missing_data_periods,
    ROUND(100.0 * (COUNT(*) - COUNT(numeric_value)) / COUNT(*), 2) AS missing_data_percentage
FROM time_series_data
GROUP BY category
HAVING COUNT(*) - COUNT(numeric_value) > 0
ORDER BY missing_data_periods DESC, missing_data_percentage DESC;",,0 rows expected,
133,sql,How are data quality issues documented in the datasets?,hard,"budget_outlays,industry_gdp,time_series_data",3,advanced,gpt-4o,2025-09-02T09:37:29.148058,"SELECT 
    'time_series_data' AS table_name,
    COUNT(*) AS total_records,
    COUNT(CASE WHEN raw_value IS NULL THEN 1 END) AS null_raw_value_count,
    COUNT(CASE WHEN numeric_value IS NULL THEN 1 END) AS null_numeric_value_count,
    COUNT(CASE WHEN is_estimated IS NULL THEN 1 END) AS null_is_estimated_count,
    COUNT(CASE WHEN footnotes IS NULL THEN 1 END) AS null_footnotes_count
FROM 
    time_series_data
UNION ALL
SELECT 
    'budget_outlays' AS table_name,
    COUNT(*) AS total_records,
    COUNT(CASE WHEN outlay_amount IS NULL THEN 1 END) AS null_outlay_amount_count,
    NULL AS null_numeric_value_count,
    NULL AS null_is_estimated_count,
    NULL AS null_footnotes_count
FROM 
    budget_outlays
UNION ALL
SELECT 
    'industry_gdp' AS table_name,
    COUNT(*) AS total_records,
    COUNT(CASE WHEN gdp_value IS NULL THEN 1 END) AS null_gdp_value_count,
    NULL AS null_numeric_value_count,
    NULL AS null_is_estimated_count,
    NULL AS null_footnotes_count
FROM 
    industry_gdp;",,3 rows expected,
134,sql,Which spending categories have estimated vs. actual values?,hard,budget_outlays,0,advanced,gpt-4o,2025-09-01T15:40:32.244258,"SELECT 
    function_name AS spending_category,
    fiscal_year,
    SUM(outlay_amount) AS total_outlays
FROM 
    budget_outlays
WHERE 
    function_name IS NOT NULL
GROUP BY 
    function_name, fiscal_year
HAVING 
    COUNT(DISTINCT fiscal_year) > 1
ORDER BY 
    total_outlays DESC
LIMIT 20;",,0 rows expected,
135,sql,What level of granularity is available for different economic measurements?,medium,industry_gdp,0,aggregation,gpt-4o,2025-09-02T09:37:36.600264,"SELECT 
    industry_code AS economic_measurement,
    COUNT(DISTINCT year) AS available_years,
    COUNT(DISTINCT unit) AS available_units,
    COUNT(DISTINCT unit_multiplier) AS available_unit_multipliers
FROM 
    industry_gdp
WHERE 
    industry_code IS NOT NULL
GROUP BY 
    industry_code
ORDER BY 
    economic_measurement;",,0 rows expected,
136,sql,Which datasets include confidence intervals or error margins?,easy,time_series_data,0,simple_query,gpt-4o,2025-09-01T15:40:35.628943,"SELECT DISTINCT source
FROM time_series_data
WHERE category LIKE '%confidence interval%' OR category LIKE '%error margin%'
ORDER BY source ASC;",,0 rows expected,
137,sql,How are data revisions tracked across different time periods?,hard,time_series_data,2,advanced,gpt-4o,2025-09-02T09:37:45.176028,"SELECT 
    series_id AS data_series,
    indicator_id AS indicator,
    year,
    period_type,
    period_value,
    COUNT(DISTINCT record_id) AS revision_count
FROM 
    time_series_data
WHERE 
    record_id IS NOT NULL
GROUP BY 
    series_id, indicator_id, year, period_type, period_value
HAVING 
    COUNT(DISTINCT record_id) > 1
ORDER BY 
    series_id, indicator_id, year, period_type, period_value;",,2 rows expected,
138,sql,What supplementary data sources complement the primary datasets?,easy,time_series_data,4,simple_query,gpt-4o,2025-09-01T15:40:39.263600,"SELECT DISTINCT source
FROM time_series_data
WHERE source IS NOT NULL
ORDER BY source ASC;",,4 rows expected,
139,sql,Which economic indicators rely on sampling vs. complete enumeration?,easy,time_series_data,12,simple_query,gpt-4o,2025-09-01T15:40:40.839714,"SELECT DISTINCT source, category
FROM time_series_data
WHERE source IS NOT NULL
ORDER BY source ASC, category ASC;",,12 rows expected,
140,sql,What validation methods are documented for different data series?,easy,time_series_data,12,simple_query,gpt-4o,2025-09-01T15:40:42.448459,"SELECT DISTINCT source, category
FROM time_series_data
WHERE source IS NOT NULL
ORDER BY source ASC, category ASC;",,12 rows expected,
141,sql,What industry groupings are used in employment statistics?,easy,time_series_data,0,simple_query,gpt-4o,2025-09-01T15:40:44.046220,"SELECT DISTINCT category
FROM time_series_data
WHERE source = 'Employment Statistics'
  AND category IS NOT NULL
ORDER BY category ASC;",,0 rows expected,
142,sql,How are transfer payments categorized separately from direct spending?,hard,budget_outlays,20,advanced,gpt-4o,2025-09-01T15:40:45.558779,"SELECT 
    function_name AS category,
    SUM(outlay_amount) AS total_outlays
FROM 
    budget_outlays
WHERE 
    function_name IS NOT NULL
GROUP BY 
    function_name
HAVING 
    SUM(outlay_amount) > 0
ORDER BY 
    total_outlays DESC
LIMIT 20;",,20 rows expected,
143,sql,Which budget functions distinguish between mandatory and discretionary spending?,hard,budget_outlays,20,advanced,gpt-4o,2025-09-01T15:40:47.230516,"SELECT 
    function_name,
    SUM(outlay_amount) AS total_outlays
FROM 
    budget_outlays
WHERE 
    function_name IS NOT NULL
GROUP BY 
    function_name
HAVING 
    COUNT(DISTINCT fiscal_year) > 1
ORDER BY 
    total_outlays DESC
LIMIT 20;",,20 rows expected,
145,sql,How are public-private partnerships reflected in spending data?,hard,budget_outlays,0,advanced,gpt-4o,2025-09-01T15:40:49.413094,"SELECT 
    function_name AS category,
    fiscal_year,
    SUM(outlay_amount) AS total_outlays
FROM 
    budget_outlays
WHERE 
    function_name IS NOT NULL
    AND fiscal_year IS NOT NULL
    AND outlay_amount IS NOT NULL
    AND function_name LIKE '%Public-Private Partnership%'
GROUP BY 
    function_name, fiscal_year
HAVING 
    SUM(outlay_amount) > 0
ORDER BY 
    total_outlays DESC
LIMIT 20;",,0 rows expected,
146,sql,Which datasets separate capital expenditures from operating expenses?,easy,time_series_data,0,simple_query,gpt-4o,2025-09-01T15:40:50.944409,"SELECT DISTINCT source
FROM time_series_data
WHERE category IN ('Capital Expenditures', 'Operating Expenses')
ORDER BY source ASC;",,0 rows expected,
147,sql,What classifications exist for different types of government revenue?,easy,time_series_data,0,simple_query,gpt-4o,2025-09-01T15:40:52.533763,"SELECT DISTINCT category AS revenue_classification
FROM time_series_data
WHERE category IS NOT NULL
  AND source = 'Government Revenue'
ORDER BY revenue_classification ASC;",,0 rows expected,
148,sql,How are intergovernmental transfers tracked in the data?,medium,budget_outlays,0,aggregation,gpt-4o,2025-09-01T15:40:54.231053,"SELECT function_name, fiscal_year, SUM(outlay_amount) AS total_outlays
FROM budget_outlays
WHERE function_name LIKE '%Intergovernmental Transfers%'
AND outlay_amount IS NOT NULL
GROUP BY function_name, fiscal_year
ORDER BY fiscal_year DESC, total_outlays DESC
LIMIT 20;",,0 rows expected,
149,sql,Which economic indicators distinguish between goods and services?,easy,time_series_data,0,simple_query,gpt-4o,2025-09-01T15:40:56.719671,"SELECT DISTINCT category
FROM time_series_data
WHERE category IS NOT NULL
AND (category LIKE '%Goods%' OR category LIKE '%Services%')
ORDER BY category ASC;",,0 rows expected,
150,sql,What demographic breakdowns are available in employment data?,easy,time_series_data,0,simple_query,gpt-4o,2025-09-01T15:40:58.778071,"SELECT DISTINCT category
FROM time_series_data
WHERE source = 'Employment Data'
  AND category IS NOT NULL
ORDER BY category ASC;",,0 rows expected,
151,sql,What base years are used for different inflation-adjusted series?,easy,time_series_data,0,simple_query,gpt-4o,2025-09-01T15:41:00.293892,"SELECT DISTINCT category, source
FROM time_series_data
WHERE category LIKE '%CPI%' OR category LIKE '%inflation%'
ORDER BY category ASC;",,0 rows expected,
152,sql,Which datasets use chain-weighted vs. fixed-weight methodologies?,easy,time_series_data,0,simple_query,gpt-4o,2025-09-01T15:41:01.925797,"SELECT DISTINCT source
FROM time_series_data
WHERE category LIKE '%chain-weighted%' OR category LIKE '%fixed-weight%'
ORDER BY source ASC;",,0 rows expected,
153,sql,How are seasonal adjustments calculated for different indicators?,medium,time_series_data,10,aggregation,gpt-4o,2025-09-01T15:41:03.943575,"SELECT category, 
       AVG(numeric_value) AS average_value, 
       MAX(numeric_value) AS max_value, 
       MIN(numeric_value) AS min_value
FROM time_series_data
WHERE numeric_value IS NOT NULL
GROUP BY category
ORDER BY average_value DESC
LIMIT 10;",,10 rows expected,
154,sql,What deflators are used to convert nominal to real values?,easy,time_series_data,0,simple_query,gpt-4o,2025-09-01T15:41:05.554718,"SELECT DISTINCT category AS deflator_category
FROM time_series_data
WHERE category LIKE '%deflator%' AND category IS NOT NULL
ORDER BY deflator_category ASC;",,0 rows expected,
155,sql,Which economic measurements use survey-based vs. administrative data?,medium,time_series_data,12,aggregation,gpt-4o,2025-09-01T15:41:07.600918,"SELECT 
    category, 
    source, 
    COUNT(*) AS measurement_count
FROM 
    time_series_data
WHERE 
    category IS NOT NULL 
    AND source IS NOT NULL
GROUP BY 
    category, 
    source
ORDER BY 
    measurement_count DESC
LIMIT 20;",,12 rows expected,
156,sql,What benchmarking procedures are used for different data series?,easy,time_series_data,12,simple_query,gpt-4o,2025-09-01T15:41:09.571954,"SELECT DISTINCT source, category
FROM time_series_data
WHERE category IS NOT NULL
ORDER BY source ASC, category ASC
LIMIT 20;",,12 rows expected,
157,sql,How are imputations handled for missing data points?,hard,time_series_data,0,advanced,claude-sonnet-4-20250514,2025-09-01T19:23:20.704593,"SELECT 
    category,
    source,
    COUNT(*) as total_records,
    COUNT(numeric_value) as non_null_records,
    COUNT(*) - COUNT(numeric_value) as missing_records,
    ROUND((COUNT(*) - COUNT(numeric_value)) * 100.0 / COUNT(*), 2) as missing_percentage
FROM time_series_data
GROUP BY category, source
HAVING missing_records > 0
ORDER BY missing_percentage DESC, category, source;",,0 rows expected,
158,sql,Which indicators use moving averages or smoothing techniques?,easy,time_series_data,0,simple_query,gpt-4o,2025-09-01T15:41:12.906128,"SELECT DISTINCT category
FROM time_series_data
WHERE category LIKE '%Moving Average%' OR category LIKE '%Smoothing%'
ORDER BY category ASC
LIMIT 20;",,0 rows expected,
159,sql,What weighting schemes are used in composite indices?,easy,time_series_data,0,simple_query,gpt-4o,2025-09-01T15:41:14.587105,"SELECT DISTINCT category AS weighting_scheme
FROM time_series_data
WHERE category IS NOT NULL
AND source = 'Composite Index'
ORDER BY category ASC
LIMIT 20;",,0 rows expected,
160,sql,How are outliers treated in different economic measurements?,hard,time_series_data,7,advanced,gpt-4o,2025-09-01T15:41:18.219154,"SELECT 
    category, 
    AVG(numeric_value) AS average_value, 
    MAX(numeric_value) AS max_value, 
    MIN(numeric_value) AS min_value, 
    COUNT(*) AS total_entries
FROM 
    time_series_data
WHERE 
    numeric_value IS NOT NULL
GROUP BY 
    category
HAVING 
    MAX(numeric_value) > AVG(numeric_value) * 1.5 OR 
    MIN(numeric_value) < AVG(numeric_value) * 0.5
ORDER BY 
    category ASC
LIMIT 20;",,7 rows expected,
161,sql,Which budget categories map directly to GDP government consumption components?,hard,"budget_outlays,time_series_data",0,advanced,gpt-4o,2025-09-01T15:41:20.354725,"SELECT bo.function_name AS budget_category, 
       SUM(bo.outlay_amount) AS total_outlays
FROM budget_outlays bo
JOIN time_series_data tsd ON bo.function_name = tsd.category
WHERE tsd.category IS NOT NULL
  AND tsd.source = 'BEA'
  AND tsd.category = 'GDP'
GROUP BY bo.function_name
HAVING SUM(bo.outlay_amount) > 0
ORDER BY total_outlays DESC
LIMIT 20;",,0 rows expected,
162,function,How do employment classifications align with industry GDP categories?,easy,query_economic_data,1,single,single_query,,,"[{""function_name"": ""query_economic_data"", ""arguments"": {""source"": ""BLS"", ""indicator_type"": ""employment"", ""year_range"": [2014, 2024]}, ""expected_response"": {""status"": ""success"", ""data_type"": ""economic"", ""records_returned"": 200, ""query_parameters"": {""source"": ""BLS"", ""indicator_type"": ""employment"", ""year_range"": [2014, 2024]}, ""execution_time"": ""1.2s""}, ""response_type"": ""data""}]",,"Correct function selected for economic data query,Function arguments match question requirements,Query executes successfully"
163,sql,What connections exist between price indices and wage measurements?,hard,time_series_data,0,advanced,gpt-4o,2025-09-02T09:39:27.328041,"SELECT 
    tsd.indicator_id AS price_index_indicator,
    tsd.series_id AS wage_measurement_series,
    COUNT(DISTINCT tsd.record_id) AS record_count
FROM 
    time_series_data tsd
WHERE 
    tsd.category = 'Price Indices' 
    AND tsd.subcategory = 'Wage Measurements'
    AND tsd.indicator_id IS NOT NULL
    AND tsd.series_id IS NOT NULL
GROUP BY 
    tsd.indicator_id, tsd.series_id
HAVING 
    COUNT(DISTINCT tsd.record_id) > 0
ORDER BY 
    record_count DESC
LIMIT 10;",,0 rows expected,
164,sql,Which spending categories correlate with specific economic indicators?,hard,"budget_outlays,industry_gdp",0,advanced,gpt-4o,2025-09-02T09:39:38.520644,"SELECT 
    bo.function_name AS spending_category,
    ig.industry_name AS economic_indicator,
    AVG(bo.outlay_amount) AS average_outlay,
    AVG(ig.gdp_value) AS average_gdp
FROM 
    budget_outlays bo
JOIN 
    industry_gdp ig ON bo.fiscal_year = ig.year
WHERE 
    bo.outlay_amount IS NOT NULL 
    AND ig.gdp_value IS NOT NULL
GROUP BY 
    bo.function_name, ig.industry_name
HAVING 
    COUNT(*) > 1
ORDER BY 
    average_outlay DESC, average_gdp DESC
LIMIT 10;",,0 rows expected,
165,function,How do different datasets define similar economic concepts?,easy,query_economic_data,1,single,single_query,,,"[{""function_name"": ""query_economic_data"", ""arguments"": {""year_range"": [2014, 2024]}, ""expected_response"": {""status"": ""success"", ""data_type"": ""economic"", ""records_returned"": 200, ""query_parameters"": {""year_range"": [2014, 2024]}, ""execution_time"": ""1.2s""}, ""response_type"": ""data""}]",,"Correct function selected for economic data query,Function arguments match question requirements,Query executes successfully"
166,sql,What linking variables enable cross-dataset analysis?,easy,"budget_outlays,time_series_data",0,join_query,gpt-4o,2025-09-01T15:41:27.662000,"SELECT DISTINCT
    bo.function_name AS linking_variable
FROM
    budget_outlays bo
JOIN
    time_series_data tsd
ON
    bo.function_name = tsd.category
WHERE
    bo.function_name IS NOT NULL
    AND tsd.category IS NOT NULL
ORDER BY
    linking_variable ASC;",,0 rows expected,
167,sql,Which economic measurements serve as inputs to other indicators?,hard,time_series_data,0,simple_query,gpt-4o,2025-09-01T15:41:29.099635,"SELECT DISTINCT category
FROM time_series_data
WHERE category IN (
    SELECT DISTINCT source
    FROM time_series_data
    WHERE source IS NOT NULL
)
ORDER BY category ASC;",,0 rows expected,
168,sql,How are government budget data reconciled with national accounts?,medium,budget_outlays,100,aggregation,gpt-4o,2025-09-02T09:39:56.849758,"SELECT 
    superfunction AS government_function,
    function_name AS specific_function,
    fiscal_year,
    SUM(outlay_amount) AS total_outlay_amount
FROM 
    budget_outlays
WHERE 
    superfunction IS NOT NULL 
    AND function_name IS NOT NULL 
    AND fiscal_year IS NOT NULL 
    AND outlay_amount IS NOT NULL
GROUP BY 
    superfunction, function_name, fiscal_year
ORDER BY 
    fiscal_year DESC, total_outlay_amount DESC;",,100 rows expected,
170,sql,Which datasets share common classification standards?,easy,"budget_outlays,time_series_data",0,join_query,gpt-4o,2025-09-01T15:41:33.305833,"SELECT DISTINCT b.function_name AS classification_standard
FROM budget_outlays b
JOIN time_series_data t ON b.function_name = t.category
WHERE b.function_name IS NOT NULL
AND t.category IS NOT NULL
ORDER BY classification_standard ASC;",,0 rows expected,
